Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
crossover_prob_0.8,K5Graph.col,1,0.0011671757698059082,0.12771821022033691,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,2,0.0012394475936889648,0.13895440101623535,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,3,0.0012018084526062012,0.13446617126464844,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,4,0.0011884474754333496,0.13587474822998047,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,5,0.001211862564086914,0.13418793678283691,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,6,0.0012006425857543945,0.13375592231750488,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,7,0.0021727681159973145,0.23023772239685059,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,8,0.0016668510437011718,0.19170212745666504,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,9,0.0013810181617736816,0.1596059799194336,125.0,125.0,4,0.15758931636810303,125.0
crossover_prob_0.8,K5Graph.col,10,0.0017178869247436524,0.18938994407653809,125.0,125.0,4,0.15758931636810303,125.0
