Experiment,Graph,Avg_Generation_Time,Total_Run_Time,Final_Fitness_Value,Best_Fitness_Value,Avg_Number_of_Colors_Used,Avg_Total_Time,Avg_Fitness,Fitness_Std
max_no_improvement_generations_100,BullGraph.col,0.00395648360252374,0.4056689977645874,125.0,125.0,4.0,0.4056689977645874,125.0,0.0
max_no_improvement_generations_100,ButterflyGraph.col,0.0035597259998321204,0.3677095174789428,166.66666666666666,166.66666666666666,3.0,0.3677095174789428,166.66666666666669,0.0
max_no_improvement_generations_100,CubeGraph.col,0.004036427259445139,0.41902186870574953,194.66666666666669,194.66666666666669,4.2,0.41902186870574953,194.66666666666669,31.552425509864626
max_no_improvement_generations_100,Cycle3.col,0.00244478416442866,0.2527480840682983,150.0,150.0,2.0,0.2527480840682983,150.0,0.0
max_no_improvement_generations_100,Cycle4.col,0.00292641115188593,0.30177745819091795,200.0,200.0,2.0,0.3017774581909179,200.0,0.0
max_no_improvement_generations_100,Cycle5.col,0.0029370853900909,0.3011039495468139,191.66666666666666,191.66666666666666,2.7,0.3011039495468139,191.66666666666669,40.25382429497066
max_no_improvement_generations_100,DiamondGraph.col,0.00292047810554501,0.30105516910552976,200.0,200.0,2.0,0.3010551691055297,200.0,0.0
max_no_improvement_generations_100,GrötzschGraph.col,0.00374507474899285,0.39320423603057864,170.23809523809524,170.23809523809524,6.5,0.3932042360305786,170.23809523809524,13.803592961052441
max_no_improvement_generations_100,K4Graph.col,0.00168803501129147,0.17908763885498044,133.33333333333334,133.33333333333334,3.0,0.1790876388549804,133.33333333333331,0.0
max_no_improvement_generations_100,K5Graph.col,0.00199598169326778,0.22562446594238278,125.0,125.0,4.0,0.2256244659423828,125.0,0.0
max_no_improvement_generations_100,LetterA.col,0.00232489752769464,0.23950307369232174,166.66666666666666,166.66666666666666,3.0,0.23950307369232168,166.66666666666669,0.0
max_no_improvement_generations_100,LetterB.col,0.00278057098388666,0.2856843948364257,240.0,240.0,2.6,0.2856843948364257,240.0,51.63977794943222
max_no_improvement_generations_100,LetterC.col,0.00206390285491939,0.211074948310852,200.0,200.0,2.0,0.211074948310852,200.0,0.0
max_no_improvement_generations_100,LetterD.col,0.00266483044624323,0.27335705757141116,200.0,200.0,2.0,0.2733570575714111,200.0,0.0
max_no_improvement_generations_100,LetterE.col,0.00319137501716608,0.325516390800476,250.0,250.0,2.5,0.325516390800476,250.0,52.704627669472984
max_no_improvement_generations_100,LetterF.col,0.00503010845184321,0.5128046035766601,250.0,250.0,2.0,0.5128046035766601,250.0,0.0
max_no_improvement_generations_100,MoserSpindle.col,0.00673883605003351,0.7033202171325683,186.66666666666666,186.66666666666666,3.8,0.7033202171325683,186.66666666666669,24.595492912420713
max_no_improvement_generations_100,Octahedron.col,0.00626758193969721,0.6567837476730347,200.0,200.0,3.0,0.6567837476730347,200.0,0.0
max_no_improvement_generations_100,PetersenGraph.col,0.00802441596984859,0.8304201364517212,186.66666666666666,186.66666666666666,5.4,0.8304201364517212,186.66666666666669,17.213259316477412
max_no_improvement_generations_100,Square.col,0.0051566147804259594,0.5294166803359985,200.0,200.0,2.0,0.5294166803359985,200.0,0.0
max_no_improvement_generations_100,Triangle.col,0.00424816536903377,0.43853962421417236,150.0,150.0,2.0,0.43853962421417225,150.0,0.0
max_no_improvement_generations_100,Wheel6Graph.col,0.0059197924137115,0.617508840560913,147.0,147.0,4.1,0.617508840560913,147.0,9.486832980505138
max_no_improvement_generations_100,example_graph,0.00356583714485164,0.36550135612487794,188.0,188.0,4.3,0.3655013561248779,188.0,19.32183566158592
Overall,Overall,0.00383423548159387,0.3972361937813136,183.54658385093168,183.54658385093168,3.134782608695652,0.3972361937813136,183.54658385093168,11.329203011120962
