Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
crossover_prob_0.9,ButterflyGraph.col,1,0.0012902331352233887,0.1340188980102539,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,2,0.0012818503379821778,0.13318490982055664,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,3,0.0012707996368408203,0.13107991218566895,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,4,0.0014304161071777345,0.146043062210083,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,5,0.0013113212585449219,0.136124849319458,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,6,0.001852731704711914,0.18931126594543457,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,7,0.0013702368736267089,0.1437671184539795,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,8,0.0011963510513305663,0.12219977378845215,125.0,125.0,4,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,9,0.0013785433769226074,0.14185380935668945,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
crossover_prob_0.9,ButterflyGraph.col,10,0.0013469147682189941,0.13968896865844727,166.66666666666666,166.66666666666666,3,0.14172725677490233,162.5
