Experiment,Graph,Avg_Generation_Time,Total_Run_Time,Final_Fitness_Value,Best_Fitness_Value,Avg_Number_of_Colors_Used,Avg_Total_Time,Avg_Fitness,Fitness_Std
crossover_prob_0.9,BullGraph.col,0.0011666250228881399,0.12007763385772703,125.0,125.0,4.0,0.120077633857727,125.0,0.0
crossover_prob_0.9,ButterflyGraph.col,0.00137293982505794,0.1417272567749023,162.5,162.5,3.1,0.1417272567749023,162.5,13.176156917368242
crossover_prob_0.9,CubeGraph.col,0.00149420237541194,0.15432562828063962,198.66666666666669,198.66666666666669,4.1,0.1543256282806396,198.66666666666669,29.110262922333895
crossover_prob_0.9,Cycle3.col,0.00093966913223261,0.09656434059143063,150.0,150.0,2.0,0.0965643405914306,150.0,0.0
crossover_prob_0.9,Cycle4.col,0.00111292004585262,0.11379656791687007,200.0,200.0,2.0,0.1137965679168701,200.0,0.0
crossover_prob_0.9,Cycle5.col,0.00121487689018245,0.1244113683700561,208.33333333333334,208.33333333333334,2.5,0.1244113683700561,208.33333333333331,43.92052305789416
crossover_prob_0.9,DiamondGraph.col,0.00107226848602291,0.11044833660125727,200.0,200.0,2.0,0.1104483366012573,200.0,0.0
crossover_prob_0.9,GrötzschGraph.col,0.00229462957382197,0.2390311002731323,189.09523809523807,189.09523809523807,5.9,0.2390311002731323,189.09523809523807,23.742179893010217
crossover_prob_0.9,K4Graph.col,0.00108004713058467,0.11368949413299556,133.33333333333334,133.33333333333334,3.0,0.1136894941329956,133.33333333333331,0.0
crossover_prob_0.9,K5Graph.col,0.0012243430614471,0.1369113683700561,125.0,125.0,4.0,0.1369113683700561,125.0,0.0
crossover_prob_0.9,LetterA.col,0.0013036863803863,0.13378155231475825,166.66666666666666,166.66666666666666,3.0,0.1337815523147583,166.66666666666669,0.0
crossover_prob_0.9,LetterB.col,0.00153939723968501,0.15824370384216305,215.0,215.0,2.9,0.158243703842163,215.0,47.43416490252569
crossover_prob_0.9,LetterC.col,0.0012400825023650502,0.12661666870117183,200.0,200.0,2.0,0.1266166687011718,200.0,0.0
crossover_prob_0.9,LetterD.col,0.00115070390701288,0.11752004623413084,200.0,200.0,2.0,0.11752004623413079,200.0,0.0
crossover_prob_0.9,LetterE.col,0.0012926533222197899,0.13226451873779294,240.0,240.0,2.6,0.1322645187377929,240.0,51.63977794943222
crossover_prob_0.9,LetterF.col,0.00122976446151728,0.12561221122741695,241.66666666666666,241.66666666666666,2.1,0.125612211227417,241.6666666666666,26.352313834736492
crossover_prob_0.9,MoserSpindle.col,0.00149547290801996,0.15536546707153315,175.0,175.0,4.0,0.1553654670715332,175.0,0.0
crossover_prob_0.9,Octahedron.col,0.0015944511890410898,0.16840679645538326,195.0,195.0,3.1,0.1684067964553833,195.0,15.811388300841898
crossover_prob_0.9,PetersenGraph.col,0.00233778929710384,0.2414847612380981,195.0,195.0,5.2,0.2414847612380981,195.0,24.907235301622116
crossover_prob_0.9,Square.col,0.00120717382431026,0.12361266613006587,200.0,200.0,2.0,0.1236126661300659,200.0,0.0
crossover_prob_0.9,Triangle.col,0.0010011510848998502,0.10331728458404536,150.0,150.0,2.0,0.1033172845840454,150.0,0.0
crossover_prob_0.9,Wheel6Graph.col,0.00143868064880366,0.1502052307128906,150.0,150.0,4.0,0.1502052307128906,150.0,0.0
crossover_prob_0.9,example_graph,0.00137361216545098,0.1402069568634033,202.66666666666669,202.66666666666669,4.0,0.1402069568634033,202.66666666666669,25.762447548781225
Overall,Overall,0.0013555278467094912,0.14033134605573566,183.60559006211182,183.60559006211182,3.108695652173913,0.14033134605573566,183.60559006211182,13.124193505588963
