Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
baseline,example_graph,1,0.0013892793655395509,0.1419668197631836,200.0,200.0,4,0.13948771953582764,198.66666666666669
baseline,example_graph,2,0.0013400793075561523,0.1359724998474121,160.0,160.0,5,0.13948771953582764,198.66666666666669
baseline,example_graph,3,0.001378014087677002,0.1408088207244873,200.0,200.0,4,0.13948771953582764,198.66666666666669
baseline,example_graph,4,0.0013594079017639161,0.13994431495666504,160.0,160.0,5,0.13948771953582764,198.66666666666669
baseline,example_graph,5,0.001375436782836914,0.1395118236541748,200.0,200.0,4,0.13948771953582764,198.66666666666669
baseline,example_graph,6,0.001435081958770752,0.14751052856445312,266.6666666666667,266.6666666666667,3,0.13948771953582764,198.66666666666669
baseline,example_graph,7,0.0014816451072692872,0.15217089653015137,200.0,200.0,4,0.13948771953582764,198.66666666666669
baseline,example_graph,8,0.0012352609634399415,0.12752389907836914,200.0,200.0,4,0.13948771953582764,198.66666666666669
baseline,example_graph,9,0.00138077974319458,0.1406393051147461,200.0,200.0,4,0.13948771953582764,198.66666666666669
baseline,example_graph,10,0.001257920265197754,0.1288282871246338,200.0,200.0,4,0.13948771953582764,198.66666666666669
