Experiment,Graph,Run,Avg Generation Time,Total Run Time,Final Fitness Value,Best Fitness Value,Avg Number of Colors Used,Average Total Time,Average Fitness
crossover_prob_0.8,Cycle5.col,1,0.0014292168617248534,0.1459369659423828,250.0,250.0,2,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,2,0.0012359571456909179,0.126631498336792,250.0,250.0,2,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,3,0.001200416088104248,0.12400531768798828,166.66666666666666,166.66666666666666,3,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,4,0.00115309476852417,0.11830854415893555,166.66666666666666,166.66666666666666,3,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,5,0.001205310821533203,0.12353682518005371,250.0,250.0,2,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,6,0.0012005805969238282,0.1220555305480957,250.0,250.0,2,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,7,0.001167280673980713,0.11972951889038086,166.66666666666666,166.66666666666666,3,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,8,0.0011520981788635254,0.11820697784423828,250.0,250.0,2,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,9,0.0012673449516296387,0.12873458862304688,166.66666666666666,166.66666666666666,3,0.12483494281768799,216.66666666666669
crossover_prob_0.8,Cycle5.col,10,0.0011920332908630371,0.12120366096496582,250.0,250.0,2,0.12483494281768799,216.66666666666669
